,A,B,C,D
0,26,11,90,16
1,75,7,39,15
2,33,13,65,0
3,34,81,2,43
4,94,47,27,41
5,50,27,0,24
6,1,52,35,57
7,75,64,51,92
8,28,6,5,75
9,36,64,89,39
10,18,3,5,47
11,41,65,6,79
12,8,54,56,55
13,68,61,66,71
14,18,93,51,94
15,82,23,67,69
16,66,83,15,34
17,79,66,96,81
18,64,12,22,98
19,40,18,11,82
20,30,13,75,16
21,87,73,20,77
22,92,85,4,41
23,34,74,71,46
24,36,90,59,32
25,68,70,67,28
26,96,96,28,86
27,82,56,69,85
28,7,5,80,48
29,10,0,2,22
30,22,98,4,61
31,27,90,70,45
32,59,21,99,41
33,31,28,40,96
34,62,42,88,93
35,27,58,77,81
36,93,33,61,45
37,46,99,38,14
38,96,34,5,96
39,90,94,68,15
40,17,31,87,63
41,42,53,78,62
42,6,1,28,64
43,53,21,90,56
44,39,31,17,47
45,28,54,69,87
46,94,91,39,90
47,85,5,48,48
48,17,11,28,26
49,88,90,70,63
50,83,68,38,16
51,9,72,9,87
52,12,57,16,26
53,89,52,92,29
54,27,38,32,82
55,87,43,59,66
56,91,24,5,59
57,76,16,17,10
58,37,51,35,83
59,75,64,30,62
60,78,16,38,64
61,21,77,1,98
62,25,24,60,88
63,11,35,56,29
64,71,68,67,10
65,99,40,88,78
66,82,70,18,54
67,1,35,0,95
68,97,6,80,42
69,40,28,73,77
70,51,99,66,56
71,28,43,72,37
72,53,20,24,47
73,59,68,77,44
74,97,32,38,48
75,9,57,58,68
76,26,85,90,1
77,71,9,71,35
78,87,2,25,23
79,93,23,35,98
80,56,11,87,21
81,96,51,60,93
82,38,47,35,36
83,84,5,0,0
84,7,21,36,25
85,14,46,67,18
86,48,32,22,70
87,90,89,56,65
88,75,58,7,45
89,20,33,97,99
90,62,58,66,35
91,47,71,61,25
92,55,3,19,54
93,36,27,12,67
94,77,54,24,42
95,80,72,70,41
96,88,94,76,17
97,30,3,0,40
98,48,21,10,88
99,25,44,46,53
